Filename;track type;Acc.%,Error 0;Error 1;Error 2;Error 3;TP;FP;FN;TN;Precision;Recall;F-measure
XXCentury_XX-Nationalism_Gershwin_2131prgybess.mid (0, 0, 1, 0)
Romanticism_Romanticism_Gounod_GP_6_FAU.mid (1, 0, 0, 0)
Falsobordon_4_1t.mid (1, 0, 0, 0)
Medieval_ArsNova_Machau_machaut-b17.mid (1, 0, 0, 0)
Romanticism_Romantic-Nationalism_Dvorak_17ad055.mid (0, 0, 0, 1)
XXCentury_Impressionism_Debussy_011_childr_4.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2b.mid (1, 0, 0, 0)
mozk74a5.mid (0, 1, 0, 0)
Romanticism_Romanticism_Brahms_JBSCHFAE.mid (0, 0, 0, 1)
mozart_e.mid (1, 0, 0, 0)
Romanticism_Romantic-Nationalism_Arensky_14arenskiy.mid (0, 0, 0, 1)
Romanticism_Romanticism_Chopin_chord42.mid (0, 0, 0, 1)
silver_swanne.mid (1, 0, 0, 0)
arias_kv308.mid (0, 0, 1, 0)
1913absent.mid (0, 0, 0, 1)
Baroque_Baroque-Late_Bach_invent1.mid (0, 0, 1, 0)
Renaissance_Renaissance-Late_Victoria_Vidi_Speciosam-a_8-1t.mid (0, 1, 0, 0)
mozk218c.mid (0, 0, 1, 0)
Classicism_Classicism_Haydn_hydn65_4.mid (1, 0, 0, 0)
kodaly37.mid (0, 1, 0, 0)
Baroque_Baroque-Middle_Uccellini_34op8sy_m.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_3PART_04.mid (0, 1, 0, 0)
XXCentury_Misc_Grainger_childrensmarch.mid (0, 0, 0, 1)
Romanticism_Post-romanticism_Rachmaninoff_RACH1_1.mid (0, 0, 0, 1)
BR_120B2.mid (0, 0, 0, 1)
Renaissance_Renaissance-Late_Anonymous_pippers_fancy.mid (0, 0, 0, 1)
Medieval_ArsNova_Machau_machaut-b16.mid (1, 0, 0, 0)
1364brawaltz10.mid (0, 0, 0, 1)
Laetatus_Sum_4_Sanctus_y_Benedictus_1b.mid (1, 0, 0, 0)
mozart_v.mid (0, 0, 0, 1)
Tosca_Di_G.Puccini_Recondita_Armonia.mid (0, 0, 0, 1)
Baroque_Baroque-Late_Bach_anna-04.mid (0, 1, 0, 0)
sonata_in_c_1_3.mid (0, 1, 0, 0)
XXCentury_Misc_Balasanyan_balasanyan-round_dance.mid (1, 0, 0, 0)
Romanticism_Romanticism_Gounod_GP_4_FAU.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-4-Sanctus-b.mid (0, 1, 0, 0)
Baroque_Baroque-Late_Bach_PASCFUG.mid (1, 0, 0, 0)
Renaissance_Renaissance-Late_Monteverdi_monteverdi_lamento_a1.mid (1, 0, 0, 0)
Giuseppe_Giordani_Caro_Mio_Ben.mid (0, 0, 0, 1)
s18.mid (1, 0, 0, 0)
Romanticism_Romanticism_Beethoven_3rdSymph_2NDMOV.mid (1, 0, 0, 0)
requiem.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Haendel_handms12.mid (1, 0, 0, 0)
arias_kv367.mid (1, 0, 0, 0)
Baroque_Baroque-Late_Bach_2PART_04.mid (0, 1, 0, 0)
TR17_Aestimatus_Sum_1b.mid (1, 0, 0, 0)
Classicism_Classicism_Haydn_sonata_piano_no52_en_Eb_joseph_haydn.mid (0, 0, 0, 1)
XXCentury_XX-Nationalism_Janacek_JANSINF5.mid (0, 1, 0, 0)
bransle_gay_VI.mid (1, 0, 0, 0)
XXCentury_XX-Nationalism_Orff_Orff-Carmina_Burana-werwelmi.mid (1, 0, 0, 0)
Romanticism_Romantic-Nationalism_Dvorak_684dvop221.mid (1, 0, 0, 0)
Romanticism_Romanticism_Beethoven_Sonate12_Opus26.mid (1, 0, 0, 0)
baile_hungaro_6_joha#29F64E.mid (0, 0, 0, 1)
Renaissance_Renaissance-Late_Victoria_LJbis9-Incipit_Oratio_Jeremiae-1t.mid (1, 0, 0, 0)
